Sale_ID,Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Product_Name,BranchName,DealerName
TX11903971,BR0001,DLR0030,BMW-M1,1055567,1,DT01573,10,6,2023,Brakes,AC Cars Motors,Pulse Car Hub
TX11903972,BR0013,DLR0019,Hon-M218,1090381,1,DT02717,9,11,2019,Tyres,Trinity Auto World,Fusion AutoPoint
TX11903973,BR0004,DLR0013,BMW-M1,1995537,3,DT02584,12,8,2023,Tyres,Velocity Auto Mall,Momentum Car Hub
TX11903974,BR0010,DLR0009,Tat-M188,327361,1,DT03661,2,4,2021,Tyres,Nexa Auto Gallery,PrimeDrive Dealership
TX11903975,BR0011,DLR0021,Tat-M188,1832028,4,DT00768,19,9,2021,Steering,Glide Motors,Cityscape Dealers
TX11903976,BR0011,DLR0022,BMW-M1,887212,1,DT03798,5,6,2022,Steering,Glide Motors,Skyline Wheels
TX11903977,BR0011,DLR0003,Ren-M128,1125665,1,DT02042,23,4,2019,Brakes,Glide Motors,Saab Motors
TX11903978,BR0003,DLR0021,Hon-M218,852786,5,DT04137,2,8,2021,Seats,Wiesmann Motors,Cityscape Dealers
TX11903979,BR0004,DLR0010,BMW-M1,744991,4,DT04142,19,12,2020,Steering,Velocity Auto Mall,DriveMax Motors
TX11903980,BR0004,DLR0026,Hon-M218,606449,5,DT01721,12,7,2021,Engine,Velocity Auto Mall,Urban Gears Dealers
TX11903981,BR0013,DLR0010,BMW-M1,414638,3,DT04409,19,2,2021,Engine,Trinity Auto World,DriveMax Motors
TX11903982,BR0016,DLR0016,Tat-M188,765582,2,DT02368,1,2,2022,Seats,BlueSky Car Lounge,Royal Wheels Dealership
TX11903983,BR0007,DLR0018,BMW-M1,1678360,5,DT01057,4,1,2019,Tyres,Crestline Motors,Ignite Motors
TX11903984,BR0012,DLR0011,BMW-M1,1174757,1,DT01942,20,2,2021,Tyres,Falcon Auto Sales,Grand Auto Plaza
TX11903985,BR0009,DLR0008,Tat-M188,536433,4,DT03259,14,1,2022,Brakes,Fusion Car Center,AutoNova Sales
TX11903986,BR0012,DLR0003,Ren-M128,1798815,1,DT02496,4,12,2022,Engine,Falcon Auto Sales,Saab Motors
TX11903987,BR0016,DLR0024,BMW-M1,1225768,3,DT04234,25,3,2022,Steering,BlueSky Car Lounge,Orbit Auto Dealers
TX11903988,BR0015,DLR0004,Hon-M218,122678,5,DT04410,19,1,2023,Engine,Torque Wheel Motors,Messerschmitt Motors
TX11903989,BR0003,DLR0004,Hyu-M158,1741145,3,DT00486,8,6,2022,Seats,Wiesmann Motors,Messerschmitt Motors
