Sale_ID,Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Product_Name,BranchName,DealerName
TX09340039,BR0006,DLR0009,BMW-M1,791867,1,DT01862,5,6,2020,Brakes,Zenith Auto Hub,PrimeDrive Dealership
TX09340040,BR0008,DLR0029,BMW-M1,1171754,5,DT02586,24,6,2023,Seats,Redline Auto Zone,Trailblazer Auto
TX09340041,BR0012,DLR0023,Ren-M128,1863565,3,DT04741,22,8,2023,Brakes,Falcon Auto Sales,Legendary Auto Group
TX09340042,BR0004,DLR0029,BMW-M1,1604639,2,DT02594,25,3,2021,Seats,Velocity Auto Mall,Trailblazer Auto
TX09340043,BR0008,DLR0012,Hon-M218,564368,1,DT01935,11,9,2021,Tyres,Redline Auto Zone,Axis AutoMart
TX09340044,BR0012,DLR0008,BMW-M1,31170,1,DT02980,28,4,2022,Engine,Falcon Auto Sales,AutoNova Sales
TX09340045,BR0014,DLR0015,Hyu-M158,1226702,3,DT03593,14,9,2022,Brakes,Elite Drive Showroom,Vroom Auto Sales
TX09340046,BR0014,DLR0012,Tat-M188,684834,2,DT01384,22,5,2021,Steering,Elite Drive Showroom,Axis AutoMart
TX09340047,BR0012,DLR0015,Hyu-M158,852768,1,DT04896,27,10,2021,Steering,Falcon Auto Sales,Vroom Auto Sales
TX09340048,BR0007,DLR0023,Hyu-M158,1908211,1,DT03875,13,9,2020,Tyres,Crestline Motors,Legendary Auto Group
TX09340049,BR0007,DLR0016,BMW-M1,1459174,4,DT04006,24,12,2021,Tyres,Crestline Motors,Royal Wheels Dealership
TX09340050,BR0003,DLR0002,Tat-M188,1952154,4,DT02610,11,12,2022,Brakes,Wiesmann Motors,Subaru Motors
TX09340051,BR0016,DLR0023,Tat-M188,70940,3,DT03839,3,8,2021,Steering,BlueSky Car Lounge,Legendary Auto Group
TX09340052,BR0014,DLR0030,Hyu-M158,1190187,2,DT00572,12,12,2020,Brakes,Elite Drive Showroom,Pulse Car Hub
TX09340053,BR0008,DLR0025,Hon-M218,403216,5,DT00462,25,11,2021,Engine,Redline Auto Zone,Revo Auto Partners
TX09340054,BR0016,DLR0002,Ren-M128,994788,3,DT00430,20,11,2020,Tyres,BlueSky Car Lounge,Subaru Motors
TX09340055,BR0010,DLR0020,BMW-M1,390615,3,DT03805,18,4,2022,Brakes,Nexa Auto Gallery,HyperDrive Car Trade
TX09340056,BR0016,DLR0022,Tat-M188,766681,3,DT01022,12,6,2023,Steering,BlueSky Car Lounge,Skyline Wheels
TX09340057,BR0003,DLR0028,Tat-M188,402029,1,DT04571,17,11,2021,Engine,Wiesmann Motors,Autograph Motors
TX09340058,BR0003,DLR0019,Ren-M128,104465,4,DT04917,15,5,2019,Brakes,Wiesmann Motors,Fusion AutoPoint
TX09340059,BR0016,DLR0013,Tat-M188,1649233,5,DT01298,4,12,2020,Tyres,BlueSky Car Lounge,Momentum Car Hub
TX09340060,BR0009,DLR0027,Hyu-M158,1199648,2,DT03867,8,9,2020,Brakes,Fusion Car Center,DriveIQ Showroom
TX09340061,BR0003,DLR0002,Ren-M128,1541655,4,DT04553,12,5,2019,Seats,Wiesmann Motors,Subaru Motors
TX09340062,BR0007,DLR0013,BMW-M1,879934,4,DT02523,16,9,2022,Seats,Crestline Motors,Momentum Car Hub
TX09340063,BR0012,DLR0009,Tat-M188,1402953,5,DT04971,19,10,2019,Brakes,Falcon Auto Sales,PrimeDrive Dealership
TX09340064,BR0005,DLR0016,Tat-M188,1033329,3,DT03789,4,11,2023,Brakes,Imperial Auto House,Royal Wheels Dealership
TX09340065,BR0016,DLR0001,BMW-M1,1752227,1,DT02764,7,2,2019,Seats,BlueSky Car Lounge,AC Cars Motors
TX09340066,BR0011,DLR0016,Hon-M218,1893070,5,DT00195,22,5,2022,Tyres,Glide Motors,Royal Wheels Dealership
TX09340067,BR0015,DLR0018,Hon-M218,1296476,3,DT03613,22,11,2019,Steering,Torque Wheel Motors,Ignite Motors
TX09340068,BR0013,DLR0022,Hon-M218,1706042,5,DT01514,13,6,2021,Seats,Trinity Auto World,Skyline Wheels
TX09340069,BR0007,DLR0017,Ren-M128,591602,3,DT00707,2,10,2022,Steering,Crestline Motors,Nimbus Motors
TX09340070,BR0010,DLR0024,Ren-M128,1627811,1,DT02362,18,10,2019,Engine,Nexa Auto Gallery,Orbit Auto Dealers
TX09340071,BR0007,DLR0003,Ren-M128,443979,5,DT01864,10,11,2020,Brakes,Crestline Motors,Saab Motors
TX09340072,BR0016,DLR0017,Tat-M188,454109,3,DT00800,12,5,2021,Seats,BlueSky Car Lounge,Nimbus Motors
TX09340073,BR0016,DLR0029,Ren-M128,30841,1,DT00178,7,4,2022,Steering,BlueSky Car Lounge,Trailblazer Auto
TX09340074,BR0012,DLR0004,BMW-M1,132573,2,DT00871,4,9,2020,Brakes,Falcon Auto Sales,Messerschmitt Motors
