Sale_ID,Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Product_Name,BranchName,DealerName
TX14284765,BR0008,DLR0030,Tat-M188,165045,1,DT02083,12,5,2021,Tyres,Redline Auto Zone,Pulse Car Hub
TX14284766,BR0016,DLR0001,Tat-M188,499668,4,DT04718,3,9,2022,Seats,BlueSky Car Lounge,AC Cars Motors
TX14284767,BR0009,DLR0013,Hon-M218,1407884,1,DT00212,27,2,2020,Seats,Fusion Car Center,Momentum Car Hub
TX14284768,BR0005,DLR0009,Tat-M188,1283684,4,DT03092,17,6,2020,Engine,Imperial Auto House,PrimeDrive Dealership
TX14284769,BR0002,DLR0018,BMW-M1,184349,1,DT02955,14,12,2020,Engine,Deccan Motors,Ignite Motors
TX14284770,BR0003,DLR0016,Tat-M188,1496936,1,DT00546,15,3,2023,Tyres,Wiesmann Motors,Royal Wheels Dealership
TX14284771,BR0005,DLR0015,BMW-M1,1015794,1,DT00777,20,1,2023,Seats,Imperial Auto House,Vroom Auto Sales
TX14284772,BR0011,DLR0001,BMW-M1,356115,1,DT01837,26,3,2019,Tyres,Glide Motors,AC Cars Motors
TX14284773,BR0016,DLR0006,Tat-M188,946344,5,DT01141,7,3,2020,Steering,BlueSky Car Lounge,EcoDrive Dealership
TX14284774,BR0002,DLR0025,Hon-M218,1025972,4,DT01513,12,8,2023,Steering,Deccan Motors,Revo Auto Partners
TX14284775,BR0003,DLR0024,Hon-M218,672297,1,DT03795,1,4,2019,Steering,Wiesmann Motors,Orbit Auto Dealers
TX14284776,BR0014,DLR0007,Ren-M128,1289733,5,DT02966,1,5,2022,Brakes,Elite Drive Showroom,Torque Traders
TX14284777,BR0015,DLR0018,BMW-M1,1097022,5,DT01393,15,10,2023,Brakes,Torque Wheel Motors,Ignite Motors
TX14284778,BR0012,DLR0029,Hyu-M158,1189863,2,DT01029,2,5,2023,Engine,Falcon Auto Sales,Trailblazer Auto
TX14284779,BR0007,DLR0016,Hon-M218,1058088,2,DT03023,16,1,2023,Brakes,Crestline Motors,Royal Wheels Dealership
TX14284780,BR0004,DLR0003,Tat-M188,1081653,1,DT03467,16,10,2020,Engine,Velocity Auto Mall,Saab Motors
TX14284781,BR0007,DLR0022,Hon-M218,596985,2,DT02323,22,7,2022,Steering,Crestline Motors,Skyline Wheels
TX14284782,BR0009,DLR0008,Hyu-M158,1755340,2,DT00046,22,12,2019,Seats,Fusion Car Center,AutoNova Sales
TX14284783,BR0013,DLR0001,Hon-M218,1968719,3,DT01364,21,6,2022,Brakes,Trinity Auto World,AC Cars Motors
TX14284784,BR0010,DLR0017,Tat-M188,608950,2,DT00959,13,12,2023,Seats,Nexa Auto Gallery,Nimbus Motors
TX14284785,BR0004,DLR0030,Tat-M188,275252,5,DT01227,16,2,2023,Engine,Velocity Auto Mall,Pulse Car Hub
TX14284786,BR0016,DLR0011,Ren-M128,511910,4,DT01229,26,4,2021,Engine,BlueSky Car Lounge,Grand Auto Plaza
TX14284787,BR0010,DLR0002,Hyu-M158,595626,1,DT00687,4,9,2022,Steering,Nexa Auto Gallery,Subaru Motors
TX14284788,BR0002,DLR0019,Hon-M218,453784,4,DT01794,28,7,2023,Brakes,Deccan Motors,Fusion AutoPoint
TX14284789,BR0013,DLR0008,Tat-M188,342798,2,DT00337,27,6,2021,Engine,Trinity Auto World,AutoNova Sales
TX14284790,BR0012,DLR0025,Hyu-M158,418792,2,DT02451,28,6,2021,Seats,Falcon Auto Sales,Revo Auto Partners
TX14284791,BR0004,DLR0010,Tat-M188,1425182,2,DT03986,23,1,2019,Brakes,Velocity Auto Mall,DriveMax Motors
TX14284792,BR0016,DLR0018,Hyu-M158,385888,2,DT01562,17,7,2020,Engine,BlueSky Car Lounge,Ignite Motors
TX14284793,BR0008,DLR0024,Tat-M188,26820,2,DT03191,15,8,2022,Seats,Redline Auto Zone,Orbit Auto Dealers
TX14284794,BR0007,DLR0024,Tat-M188,1546233,5,DT02203,15,3,2021,Tyres,Crestline Motors,Orbit Auto Dealers
TX14284795,BR0002,DLR0005,Hon-M218,1500646,3,DT02105,20,12,2021,Tyres,Deccan Motors,Prestige Auto Dealers
TX14284796,BR0013,DLR0016,BMW-M1,1089190,3,DT02651,18,5,2020,Tyres,Trinity Auto World,Royal Wheels Dealership
TX14284797,BR0004,DLR0020,Hon-M218,1453626,5,DT00503,22,10,2020,Seats,Velocity Auto Mall,HyperDrive Car Trade
TX14284798,BR0012,DLR0025,Hon-M218,391144,2,DT02446,15,6,2021,Engine,Falcon Auto Sales,Revo Auto Partners
TX14284799,BR0006,DLR0029,Hon-M218,164228,4,DT00855,26,3,2021,Engine,Zenith Auto Hub,Trailblazer Auto
TX14284800,BR0010,DLR0028,BMW-M1,1592341,4,DT00036,11,6,2020,Tyres,Nexa Auto Gallery,Autograph Motors
TX14284801,BR0003,DLR0004,Tat-M188,1669479,4,DT02975,1,11,2020,Steering,Wiesmann Motors,Messerschmitt Motors
TX14284802,BR0003,DLR0003,Hyu-M158,64367,5,DT02529,16,12,2021,Engine,Wiesmann Motors,Saab Motors
TX14284803,BR0013,DLR0023,Hyu-M158,1147088,1,DT00246,20,9,2020,Seats,Trinity Auto World,Legendary Auto Group
TX14284804,BR0013,DLR0010,Hyu-M158,47114,5,DT01067,15,5,2022,Engine,Trinity Auto World,DriveMax Motors
TX14284805,BR0010,DLR0012,Hyu-M158,1105310,2,DT03167,22,5,2021,Seats,Nexa Auto Gallery,Axis AutoMart
TX14284806,BR0015,DLR0025,Hon-M218,807514,5,DT02955,6,5,2021,Brakes,Torque Wheel Motors,Revo Auto Partners
TX14284807,BR0001,DLR0024,Hon-M218,1672831,3,DT03724,20,1,2020,Brakes,AC Cars Motors,Orbit Auto Dealers
TX14284808,BR0001,DLR0027,Hyu-M158,1313077,2,DT00971,2,5,2022,Seats,AC Cars Motors,DriveIQ Showroom
TX14284809,BR0006,DLR0013,Hyu-M158,45786,2,DT04323,1,8,2021,Steering,Zenith Auto Hub,Momentum Car Hub
TX14284810,BR0002,DLR0022,Tat-M188,1125031,5,DT01254,10,1,2022,Tyres,Deccan Motors,Skyline Wheels
TX14284811,BR0015,DLR0022,Tat-M188,1960721,3,DT03210,3,10,2023,Engine,Torque Wheel Motors,Skyline Wheels
TX14284812,BR0013,DLR0023,Hon-M218,1435404,5,DT01970,4,10,2020,Steering,Trinity Auto World,Legendary Auto Group
TX14284813,BR0012,DLR0020,BMW-M1,1780446,2,DT01043,27,5,2020,Steering,Falcon Auto Sales,HyperDrive Car Trade
TX14284814,BR0011,DLR0011,Hon-M218,362505,5,DT02024,28,6,2020,Tyres,Glide Motors,Grand Auto Plaza
TX14284815,BR0004,DLR0003,Ren-M128,1951081,2,DT04818,22,9,2022,Seats,Velocity Auto Mall,Saab Motors
TX14284816,BR0002,DLR0004,Ren-M128,1542079,3,DT03059,28,11,2019,Seats,Deccan Motors,Messerschmitt Motors
TX14284817,BR0009,DLR0001,BMW-M1,461751,2,DT03119,17,9,2022,Engine,Fusion Car Center,AC Cars Motors
TX14284818,BR0016,DLR0019,Tat-M188,1325341,5,DT04852,3,8,2019,Engine,BlueSky Car Lounge,Fusion AutoPoint
