Sale_ID,Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Product_Name,BranchName,DealerName
TX08607487,BR0008,DLR0019,Hyu-M158,902681,3,DT03697,26,9,2019,Engine,Redline Auto Zone,Fusion AutoPoint
TX08607488,BR0008,DLR0015,BMW-M1,828959,2,DT03953,3,5,2021,Tyres,Redline Auto Zone,Vroom Auto Sales
TX08607489,BR0004,DLR0020,BMW-M1,1096298,4,DT02844,17,8,2021,Seats,Velocity Auto Mall,HyperDrive Car Trade
TX08607490,BR0006,DLR0008,BMW-M1,317691,5,DT00165,27,12,2022,Seats,Zenith Auto Hub,AutoNova Sales
TX08607491,BR0012,DLR0012,BMW-M1,1937937,2,DT02745,23,1,2019,Seats,Falcon Auto Sales,Axis AutoMart
TX08607492,BR0008,DLR0001,Tat-M188,1774304,3,DT01836,21,6,2021,Steering,Redline Auto Zone,AC Cars Motors
TX08607493,BR0004,DLR0016,Hyu-M158,1984778,2,DT04973,5,4,2020,Seats,Velocity Auto Mall,Royal Wheels Dealership
TX08607494,BR0013,DLR0011,Hyu-M158,1021080,2,DT04938,28,1,2023,Tyres,Trinity Auto World,Grand Auto Plaza
TX08607495,BR0008,DLR0025,BMW-M1,735570,3,DT04848,2,7,2021,Steering,Redline Auto Zone,Revo Auto Partners
TX08607496,BR0010,DLR0016,Ren-M128,1245923,3,DT02773,4,7,2019,Tyres,Nexa Auto Gallery,Royal Wheels Dealership
TX08607497,BR0012,DLR0015,Tat-M188,336569,2,DT02346,19,3,2021,Brakes,Falcon Auto Sales,Vroom Auto Sales
TX08607498,BR0010,DLR0022,BMW-M1,73299,1,DT00786,10,1,2023,Brakes,Nexa Auto Gallery,Skyline Wheels
TX08607499,BR0002,DLR0009,BMW-M1,1620527,1,DT04146,21,12,2023,Engine,Deccan Motors,PrimeDrive Dealership
TX08607500,BR0008,DLR0005,Tat-M188,1995154,1,DT00610,10,5,2022,Engine,Redline Auto Zone,Prestige Auto Dealers
TX08607501,BR0003,DLR0022,Hyu-M158,472256,5,DT01388,10,9,2019,Steering,Wiesmann Motors,Skyline Wheels
TX08607502,BR0011,DLR0012,Tat-M188,688874,4,DT01971,21,1,2020,Engine,Glide Motors,Axis AutoMart
TX08607503,BR0016,DLR0029,Hon-M218,633851,4,DT04918,17,11,2021,Engine,BlueSky Car Lounge,Trailblazer Auto
TX08607504,BR0012,DLR0003,Ren-M128,475435,2,DT03476,16,2,2022,Brakes,Falcon Auto Sales,Saab Motors
TX08607505,BR0015,DLR0020,Tat-M188,1493719,3,DT01634,26,4,2023,Steering,Torque Wheel Motors,HyperDrive Car Trade
TX08607506,BR0006,DLR0008,Tat-M188,1806711,4,DT00260,5,11,2020,Brakes,Zenith Auto Hub,AutoNova Sales
TX08607507,BR0015,DLR0003,BMW-M1,1233260,3,DT01031,16,12,2021,Engine,Torque Wheel Motors,Saab Motors
TX08607508,BR0004,DLR0013,Tat-M188,1140198,2,DT00098,7,4,2020,Engine,Velocity Auto Mall,Momentum Car Hub
TX08607509,BR0014,DLR0016,Hyu-M158,1619953,2,DT03335,23,3,2023,Steering,Elite Drive Showroom,Royal Wheels Dealership
TX08607510,BR0004,DLR0024,BMW-M1,242667,1,DT04867,7,3,2022,Seats,Velocity Auto Mall,Orbit Auto Dealers
TX08607511,BR0016,DLR0030,Hyu-M158,1168013,5,DT00635,19,1,2020,Brakes,BlueSky Car Lounge,Pulse Car Hub
TX08607512,BR0004,DLR0001,Hyu-M158,728173,2,DT04927,20,7,2019,Seats,Velocity Auto Mall,AC Cars Motors
TX08607513,BR0002,DLR0016,Tat-M188,1215383,1,DT04536,8,1,2023,Brakes,Deccan Motors,Royal Wheels Dealership
TX08607514,BR0014,DLR0002,Tat-M188,967328,4,DT02512,4,2,2019,Seats,Elite Drive Showroom,Subaru Motors
TX08607515,BR0005,DLR0006,BMW-M1,1885675,4,DT03420,20,11,2021,Tyres,Imperial Auto House,EcoDrive Dealership
TX08607516,BR0006,DLR0030,BMW-M1,142101,3,DT01279,11,6,2020,Seats,Zenith Auto Hub,Pulse Car Hub
TX08607517,BR0013,DLR0001,BMW-M1,808154,4,DT02714,6,1,2023,Seats,Trinity Auto World,AC Cars Motors
TX08607518,BR0002,DLR0020,Tat-M188,1934569,3,DT00932,17,9,2023,Engine,Deccan Motors,HyperDrive Car Trade
TX08607519,BR0012,DLR0025,Hyu-M158,615066,2,DT03305,16,11,2019,Seats,Falcon Auto Sales,Revo Auto Partners
TX08607520,BR0002,DLR0020,Ren-M128,1440993,1,DT03347,13,8,2022,Tyres,Deccan Motors,HyperDrive Car Trade
TX08607521,BR0001,DLR0029,Ren-M128,1472611,5,DT02071,7,9,2019,Tyres,AC Cars Motors,Trailblazer Auto
TX08607522,BR0009,DLR0007,Hyu-M158,413452,4,DT03902,6,9,2021,Tyres,Fusion Car Center,Torque Traders
TX08607523,BR0011,DLR0006,Tat-M188,907419,5,DT03328,28,8,2020,Tyres,Glide Motors,EcoDrive Dealership
TX08607524,BR0006,DLR0017,BMW-M1,1772118,1,DT01728,22,1,2019,Seats,Zenith Auto Hub,Nimbus Motors
TX08607525,BR0013,DLR0026,Hon-M218,1591128,3,DT01638,25,7,2020,Steering,Trinity Auto World,Urban Gears Dealers
