Sale_ID,Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,Product_Name,BranchName,DealerName
TX00366277,BR0002,DLR0024,Hyu-M158,892448,3,DT00410,5,4,2022,Brakes,Deccan Motors,Orbit Auto Dealers
TX00366278,BR0005,DLR0004,BMW-M1,875507,1,DT03989,1,2,2022,Steering,Imperial Auto House,Messerschmitt Motors
TX00366279,BR0005,DLR0006,BMW-M1,1397893,1,DT03410,22,2,2020,Steering,Imperial Auto House,EcoDrive Dealership
TX00366280,BR0003,DLR0011,Tat-M188,905856,3,DT00215,7,10,2022,Steering,Wiesmann Motors,Grand Auto Plaza
TX00366281,BR0004,DLR0020,Hyu-M158,477059,4,DT04723,17,5,2021,Engine,Velocity Auto Mall,HyperDrive Car Trade
TX00366282,BR0015,DLR0027,Tat-M188,1972084,1,DT04200,23,10,2019,Engine,Torque Wheel Motors,DriveIQ Showroom
TX00366283,BR0012,DLR0024,Hon-M218,1348805,3,DT04617,23,12,2021,Brakes,Falcon Auto Sales,Orbit Auto Dealers
TX00366284,BR0001,DLR0011,BMW-M1,1213533,3,DT00219,13,12,2019,Brakes,AC Cars Motors,Grand Auto Plaza
TX00366285,BR0009,DLR0014,Ren-M128,672451,2,DT03352,2,10,2022,Tyres,Fusion Car Center,TrueMotion Dealers
TX00366286,BR0006,DLR0019,Tat-M188,1476085,5,DT04340,21,6,2020,Brakes,Zenith Auto Hub,Fusion AutoPoint
TX00366287,BR0006,DLR0015,Tat-M188,145544,3,DT03352,2,1,2021,Steering,Zenith Auto Hub,Vroom Auto Sales
TX00366288,BR0009,DLR0028,Tat-M188,1165285,4,DT04108,20,10,2020,Brakes,Fusion Car Center,Autograph Motors
TX00366289,BR0001,DLR0010,Ren-M128,296710,2,DT01447,19,2,2020,Brakes,AC Cars Motors,DriveMax Motors
TX00366290,BR0016,DLR0004,BMW-M1,1848455,3,DT04473,24,6,2023,Seats,BlueSky Car Lounge,Messerschmitt Motors
TX00366291,BR0003,DLR0007,Tat-M188,567445,1,DT00089,6,12,2019,Brakes,Wiesmann Motors,Torque Traders
TX00366292,BR0007,DLR0015,Hyu-M158,38574,1,DT04314,27,3,2021,Brakes,Crestline Motors,Vroom Auto Sales
TX00366293,BR0002,DLR0023,Tat-M188,1036769,1,DT00710,4,4,2020,Engine,Deccan Motors,Legendary Auto Group
TX00366294,BR0002,DLR0014,Ren-M128,1880638,5,DT02556,18,1,2023,Steering,Deccan Motors,TrueMotion Dealers
TX00366295,BR0015,DLR0030,Tat-M188,1930411,3,DT02017,13,9,2022,Tyres,Torque Wheel Motors,Pulse Car Hub
TX00366296,BR0003,DLR0019,Hon-M218,583071,2,DT00558,2,8,2020,Brakes,Wiesmann Motors,Fusion AutoPoint
TX00366297,BR0014,DLR0030,Hon-M218,135253,5,DT00432,16,12,2020,Seats,Elite Drive Showroom,Pulse Car Hub
TX00366298,BR0007,DLR0017,Tat-M188,770821,2,DT03090,24,8,2022,Engine,Crestline Motors,Nimbus Motors
TX00366299,BR0012,DLR0003,Ren-M128,1274519,4,DT01323,2,4,2021,Steering,Falcon Auto Sales,Saab Motors
TX00366300,BR0013,DLR0018,Ren-M128,625660,5,DT03450,15,11,2023,Engine,Trinity Auto World,Ignite Motors
TX00366301,BR0004,DLR0012,Hyu-M158,1192670,5,DT04855,6,7,2023,Brakes,Velocity Auto Mall,Axis AutoMart
TX00366302,BR0010,DLR0025,BMW-M1,406060,5,DT01877,23,4,2020,Tyres,Nexa Auto Gallery,Revo Auto Partners
TX00366303,BR0013,DLR0018,Ren-M128,1316897,2,DT04389,14,2,2022,Brakes,Trinity Auto World,Ignite Motors
TX00366304,BR0008,DLR0023,Hon-M218,1665476,1,DT03916,1,1,2022,Tyres,Redline Auto Zone,Legendary Auto Group
TX00366305,BR0013,DLR0023,Hon-M218,646030,3,DT02232,24,5,2021,Brakes,Trinity Auto World,Legendary Auto Group
TX00366306,BR0015,DLR0015,Hon-M218,1417147,4,DT01970,17,12,2022,Brakes,Torque Wheel Motors,Vroom Auto Sales
TX00366307,BR0014,DLR0001,BMW-M1,602481,4,DT01375,9,2,2020,Tyres,Elite Drive Showroom,AC Cars Motors
TX00366308,BR0005,DLR0025,Hyu-M158,549396,2,DT00409,5,8,2023,Seats,Imperial Auto House,Revo Auto Partners
TX00366309,BR0001,DLR0006,Tat-M188,1290673,4,DT01398,20,4,2022,Brakes,AC Cars Motors,EcoDrive Dealership
TX00366310,BR0011,DLR0006,BMW-M1,1877546,1,DT03736,4,11,2022,Brakes,Glide Motors,EcoDrive Dealership
TX00366311,BR0016,DLR0011,Ren-M128,1508921,2,DT01379,14,6,2022,Seats,BlueSky Car Lounge,Grand Auto Plaza
TX00366312,BR0013,DLR0015,Hon-M218,530709,5,DT03479,24,10,2021,Steering,Trinity Auto World,Vroom Auto Sales
TX00366313,BR0004,DLR0028,Hon-M218,1637246,5,DT00027,6,7,2020,Brakes,Velocity Auto Mall,Autograph Motors
TX00366314,BR0012,DLR0024,Hon-M218,1899607,1,DT03516,28,6,2021,Engine,Falcon Auto Sales,Orbit Auto Dealers
TX00366315,BR0005,DLR0005,Hyu-M158,1277278,5,DT04075,9,1,2019,Seats,Imperial Auto House,Prestige Auto Dealers
TX00366316,BR0009,DLR0030,Tat-M188,143851,5,DT03280,11,2,2022,Tyres,Fusion Car Center,Pulse Car Hub
TX00366317,BR0006,DLR0010,Hyu-M158,1355939,1,DT03709,19,4,2020,Tyres,Zenith Auto Hub,DriveMax Motors
TX00366318,BR0015,DLR0012,Hyu-M158,370862,4,DT03900,11,2,2023,Tyres,Torque Wheel Motors,Axis AutoMart
TX00366319,BR0015,DLR0011,Hyu-M158,712746,2,DT04148,20,11,2023,Seats,Torque Wheel Motors,Grand Auto Plaza
TX00366320,BR0001,DLR0024,Tat-M188,1079527,4,DT02767,22,4,2020,Brakes,AC Cars Motors,Orbit Auto Dealers
TX00366321,BR0010,DLR0025,BMW-M1,1380879,1,DT01314,23,8,2019,Steering,Nexa Auto Gallery,Revo Auto Partners
TX00366322,BR0007,DLR0018,BMW-M1,1357037,2,DT01947,21,5,2020,Tyres,Crestline Motors,Ignite Motors
TX00366323,BR0002,DLR0016,Tat-M188,272089,2,DT01343,26,6,2022,Seats,Deccan Motors,Royal Wheels Dealership
TX00366324,BR0004,DLR0015,BMW-M1,789291,5,DT04562,19,10,2023,Tyres,Velocity Auto Mall,Vroom Auto Sales
TX00366325,BR0013,DLR0022,Hon-M218,722435,3,DT02774,4,5,2019,Brakes,Trinity Auto World,Skyline Wheels
TX00366326,BR0002,DLR0010,BMW-M1,765074,2,DT00928,21,7,2022,Tyres,Deccan Motors,DriveMax Motors
TX00366327,BR0001,DLR0029,Hyu-M158,799246,1,DT00043,4,10,2023,Engine,AC Cars Motors,Trailblazer Auto
TX00366328,BR0012,DLR0013,Hon-M218,1557975,4,DT00406,9,9,2021,Brakes,Falcon Auto Sales,Momentum Car Hub
TX00366329,BR0008,DLR0015,Hon-M218,840408,4,DT00764,20,2,2019,Steering,Redline Auto Zone,Vroom Auto Sales
TX00366330,BR0014,DLR0003,BMW-M1,472562,3,DT03278,19,7,2019,Brakes,Elite Drive Showroom,Saab Motors
TX00366331,BR0006,DLR0016,Hyu-M158,1608216,2,DT02560,14,6,2023,Steering,Zenith Auto Hub,Royal Wheels Dealership
TX00366332,BR0013,DLR0001,Hyu-M158,1049482,2,DT04909,4,1,2023,Steering,Trinity Auto World,AC Cars Motors
